Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
213,Onking,Taityeunia,Taityeunia Parish,Seavedonia,Holy State of Seavedonia,Guantzu,Guantzu Faith,2655,1060.6,461.6,-1.13,18.46,30,102°F,Mecca,,,citadel,,,temple,,{t1:purpure;charges:[{charge:cinquefoil;t:argent;p:e;size:1.5}];shield:banner},https://watabou.github.io/city-generator/?name=Onking&population=2655&size=19&seed=8194174370213&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
214,Watchleach,Westcles,Westcles County,Chichia,Grand Duchy of Chichia,Westen,Norwickism,1559,342.53,657.49,-17.52,-41.63,82,99°F,Mecca,,,citadel,,plaza,,,{t1:purpure;charges:[{charge:monk;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Watchleach&population=1559&size=15&seed=8194174370214&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
215,Stotes,Roclifia,Roclifia Territory,Seavedonia,Holy State of Seavedonia,Westen,Norwickism,2637,672,661.5,-17.86,-14.06,30,99°F,Mecca,,,citadel,,,temple,,{t1:azure;ordinaries:[{ordinary:crossParted;t:or;line:straight}];charges:[{charge:crossTriquetra;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Stotes&population=2637&size=19&seed=8194174370215&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
216,Holmondbury,Monterton,Monterton Parish,Seavedonia,Holy State of Seavedonia,Westen,Norwickism,5528,627.53,721.21,-22.86,-17.78,52,95°F,Mecca,,,citadel,,,temple,,{t1:gules;division:{division:gyronny;t:argent};charges:[{charge:oak;t:or;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Holmondbury&population=5528&size=25&seed=8194174370216&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
217,Thatcham,Brasbuse,Brasbuse Landgrave,Waria,Warian Empire,Westen,Norwickism,3866,413.38,754.47,-25.64,-35.7,554,88°F,Mecca,,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:fess;t:argent;line:embattled}];charges:[{charge:eagle;t:purpure;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Thatcham&population=3866&size=22&seed=8194174370217&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
218,Aj'jes,Par'has,Par'has County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,2022,83.46,488.83,-3.41,-63.32,161,102°F,Mecca,,,,,,,,{t1:or;ordinaries:[{ordinary:terrace;t:purpure;line:straight}];charges:[{charge:mascle;t:purpure;p:bdf;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Aj%27jes&population=2022&size=17&seed=8194174370218&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
219,Kirukthar,Garakzinb,Garakzinb Earldom,Ardg,Ardg Empire,Durinn,Durinn Pantheon,10812,1446.9,577.5,-10.83,50.79,1063,97°F,Mecca,,,,walls,,,,{t1:argent;division:{division:perFess;t:gules;line:straight};charges:[{charge:crossCeltic2;t:purpure;p:k;size:0.7};{charge:trefle;t:or;p:n;size:0.7}];shield:erebor},https://watabou.github.io/city-generator/?name=Kirukthar&population=10812&size=32&seed=8194174370219&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
220,Macles,Dunsburia,Dunsburia County,Waria,Warian Empire,Westen,Norwickism,8072,461.81,657.1,-17.49,-31.65,118,99°F,Mecca,,,citadel,,,,,{t1:or;charges:[{charge:sword;t:vert;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Macles&population=8072&size=29&seed=8194174370220&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
221,Biganton,Southfield,Southfield Captaincy,Comburghia,Kingdom of Comburghia,Westen,Norwickism,5307,223.38,671.54,-18.7,-51.61,554,97°F,Mecca,,,citadel,,plaza,,,{t1:azure;charges:[{charge:bugleHorn2;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Biganton&population=5307&size=24&seed=8194174370221&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
222,Brampingra,Hornorby,Hornorby Parish,Seavedonia,Holy State of Seavedonia,Westen,Norwickism,670,737.55,700.26,-21.1,-8.57,266,93°F,Mecca,,,,,,temple,,{t1:sable;ordinaries:[{ordinary:cross;t:argent;line:potentyDexter}];charges:[{charge:mullet6;t:azure;p:behdf;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Brampingra&population=670&size=11&seed=8194174370222&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
223,Khun,Shiz,Shiz Earldom,Comburghia,Kingdom of Comburghia,Durinn,Norwickism,5060,58.78,822.06,-31.3,-65.38,210,81°F,Mogadishu,,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:pilesInPoint;t:argent}];charges:[{charge:crosslet;t:or;p:e;size:1.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Khun&population=5060&size=24&seed=8194174370223&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
224,Ingellebodu,Ingellebodu,Ingellebodu County,Afespia,Kingdom of Afespia,Keltan,Norwickism,9179,226.82,47.85,33.5,-51.32,30,73°F,Rio de Janeiro,,,citadel,,,,,{t1:argent;charges:[{charge:eagle;t:azure;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Ingellebodu&population=9179&size=30&seed=8194174370224&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
225,Inver,Aberclesia,Aberclesia County,Afespia,Kingdom of Afespia,Keltan,Norwickism,18449,303.44,142.34,25.59,-44.9,118,86°F,Khartoum,,,citadel,,,,,{t1:purpure;charges:[{charge:crossPatriarchal;t:or;p:abc;size:0.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Inver&population=18449&size=39&seed=8194174370225&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
226,Aray,Aray,Aray Parish,Towcesland,Brotherhood of Towcesland,Keltan,Thetford Cult,10880,344,220.8,19.02,-41.51,13,93°F,Mecca,,,citadel,,,temple,,{t1:argent;division:{division:perBendSinister;t:azure;line:wavy};shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Aray&population=10880&size=32&seed=8194174370226&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
227,Afonvegirkei,Abergarac,Abergarac Earldom,Sor'thaz,Kingdom of Sor'thaz,Keltan,Norwickism,661,96.05,328.74,9.99,-62.26,643,99°F,Mecca,,,citadel,walls,,,,{t1:scaly-purpure-or-small;division:{division:gyronny;t:argent};charges:[{charge:apple;t:gules;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Afonvegirkei&population=661&size=11&seed=8194174370227&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
228,Gagekez,Rraj'hass,Rraj'hass Captaincy,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,718,175.29,388.53,4.99,-55.63,82,102°F,Mecca,,,citadel,walls,,,,{t1:sable;charges:[{charge:roundel2;t:argent;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Gagekez&population=718&size=12&seed=8194174370228&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
229,Helsterton,Leighinia,Leighinia County,Comburghia,Kingdom of Comburghia,Westen,Norwickism,12337,271.6,538.2,-7.54,-47.57,52,100°F,Mecca,,,,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:pale;t:argent;line:rayonne}];charges:[{charge:pike;t:azure;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Helsterton&population=12337&size=33&seed=8194174370229&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
230,Bundushur,Burmingley,Burmingley County,Swasings,Principality of Swasings,Durinn,Durinn Pantheon,3873,1065.55,619.74,-14.36,18.88,266,97°F,Mecca,,,,,,,,{t1:argent;charges:[{charge:lionHeadCaboshed;t:azure;p:e;size:1.5}];shield:erebor},https://watabou.github.io/city-generator/?name=Bundushur&population=3873&size=22&seed=8194174370230&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
231,Blechelton,Fivesoliton,Fivesoliton Margrave,Swasings,Principality of Swasings,Westen,Norwickism,3017,975.45,647.58,-16.69,11.34,118,99°F,Mecca,,,,,plaza,,,{t1:gules;charges:[{charge:armillarySphere;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Blechelton&population=3017&size=20&seed=8194174370231&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
232,Baldockneth,Roclifia,Roclifia Territory,Seavedonia,Holy State of Seavedonia,Westen,Norwickism,7751,644.6,658.7,-17.62,-16.35,13,99°F,Mecca,,,citadel,,plaza,temple,,{t1:argent;charges:[{charge:anchor;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Baldockneth&population=7751&size=28&seed=8194174370232&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
233,Skiping,Leightongay,Leightongay Margrave,Swasings,Principality of Swasings,Westen,Norwickism,3023,883,653,-17.15,3.6,52,99°F,Mecca,,port,,,,,,{t1:or;charges:[{charge:dolphin;t:purpure;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Skiping&population=3023&size=20&seed=8194174370233&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.44
234,Calter,Westcles,Westcles County,Chichia,Grand Duchy of Chichia,Westen,Norwickism,884,358.2,682.15,-19.59,-40.32,82,99°F,Mecca,,,citadel,walls,,,,{t1:purpure;charges:[{charge:eagle;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Calter&population=884&size=12&seed=8194174370234&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
235,Llaberfha,Inverdenia,Inverdenia County,Afespia,Kingdom of Afespia,Keltan,Norwickism,10609,231,74,31.31,-50.97,30,79°F,Jakarta,,port,citadel,,plaza,,,{t1:vert;ordinaries:[{ordinary:cross;t:argent;line:straight}];charges:[{charge:crossHummetty;t:vert;p:beh;size:0.3}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Llaberfha&population=10609&size=32&seed=8194174370235&river=0&coast=1&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.01
236,Chanaberleit,Invercastia,Invercastia Margrave,Afespia,Kingdom of Afespia,Keltan,Norwickism,8277,222.58,100.5,29.09,-51.67,30,81°F,Mogadishu,,,citadel,walls,,,,{t1:argent;charges:[{charge:monk;t:azure;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Chanaberleit&population=8277&size=29&seed=8194174370236&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
237,Inbricagos,Invercych,Invercych Parish,Towcesland,Brotherhood of Towcesland,Keltan,Thetford Cult,4298,362.1,239.84,17.43,-40,30,97°F,Mecca,,,citadel,,plaza,temple,,{t1:argent;charges:[{charge:tower;t:azure;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Inbricagos&population=4298&size=22&seed=8194174370237&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
238,Mithuph,Ar'th'hish,Ar'th'hish Margrave,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,2555,184.72,471.09,-1.92,-54.84,30,102°F,Mecca,,,,,,,,{t1:or;ordinaries:[{ordinary:chief;t:azure;line:straight}];charges:[{charge:boat;t:argent;p:abc;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Mithuph&population=2555&size=18&seed=8194174370238&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
239,Lympsbury,New Winchbridia,New Winchbridia Colony,Seavedonia,Holy State of Seavedonia,Westen,Westen Beliefs,1161,973.84,542.4,-7.89,11.2,30,100°F,Mecca,,,,,,temple,,{t1:sable;division:{division:perPale;t:or;line:straight};ordinaries:[{ordinary:fess;t:argent;line:straight;divided:counter}];shield:heater},https://watabou.github.io/city-generator/?name=Lympsbury&population=1161&size=14&seed=8194174370239&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
240,Barton,Burmingley,Burmingley County,Swasings,Principality of Swasings,Westen,Westen Beliefs,889,1022.96,590.88,-11.95,15.31,13,100°F,Mecca,,,,,,,,{t1:potent-argent-vert;charges:[{charge:cancer;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=889&name=&seed=8194174370240&width=1000&height=455&tags=dead+end%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
241,An'han,An'han,An'han Margrave,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,21953,1.69,615.54,-14.01,-70.16,2759,90°F,Mecca,,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:mascle;t:gules;p:kn;size:0.7}];shield:fantasy1},https://watabou.github.io/city-generator/?name=An%27han&population=21953&size=42&seed=8194174370241&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
242,Asaltonbury,Showey,Showey Parish,Seavedonia,Holy State of Seavedonia,Nortumbic,Nortumbic Beliefs,6471,1273.73,614.36,-13.91,36.3,210,99°F,Mecca,,,citadel,walls,,temple,,{t1:purpure;division:{division:perFess;t:argent;line:straight};charges:[{charge:inescutcheon;t:or;p:jlh;size:0.7};{charge:camel;t:gules;p:jlh;size:0.35}];shield:heater},https://watabou.github.io/city-generator/?name=Asaltonbury&population=6471&size=26&seed=8194174370242&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
243,Tregoretown,Shoverland,Shoverland County,Waria,Warian Empire,Westen,Norwickism,3977,498.56,679.63,-19.38,-28.58,52,99°F,Mecca,,,,walls,plaza,,,{t1:or;charges:[{charge:bell;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Tregoretown&population=3977&size=22&seed=8194174370243&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
244,Wargtonden,Somerleyles,Somerleyles Landgrave,Chichia,Grand Duchy of Chichia,Westen,Norwickism,671,318.02,736.37,-24.12,-43.68,266,90°F,Mecca,,,citadel,,,,,{t1:purpure;ordinaries:[{ordinary:bendletSinister;t:argent;line:nebuly}];charges:[{charge:crossSaltire;t:gules;p:lem;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Wargtonden&population=671&size=11&seed=8194174370244&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
245,Lympster,Gibuled,Gibuled Earldom,Comburghia,Kingdom of Comburghia,Westen,Norwickism,3585,292.68,758.03,-25.94,-45.81,82,90°F,Mecca,,,citadel,,,,,{t1:azure;charges:[{charge:greyhoundSejant;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Lympster&population=3585&size=21&seed=8194174370245&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
246,Invervie,Aconia,Aconia County,Afespia,Kingdom of Afespia,Keltan,Norwickism,4283,145.43,112.56,28.08,-58.13,1184,79°F,Jakarta,,,citadel,,plaza,,,{t1:gules;charges:[{charge:bell;t:or;p:e;size:1.5}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Invervie&population=4283&size=22&seed=8194174370246&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=true&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
247,Gatford,Chistone,Chistone County,Chawburia,Duchy of Chawburia,Kentian,Norwickism,5064,221.72,448.64,-0.05,-51.74,52,102°F,Mecca,,,,,,,,{t1:or;division:{division:perCross;t:purpure;line:straight};ordinaries:[{ordinary:pilesInPoint;t:vert}];shield:heater},https://watabou.github.io/city-generator/?name=Gatford&population=5064&size=24&seed=8194174370247&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
248,Midhurst,Winchbridia,Winchbridia Parish,Seavedonia,Holy State of Seavedonia,Westen,Westen Beliefs,11550,982.9,461.3,-1.1,11.96,13,102°F,Mecca,,,,walls,,temple,,{t1:purpure;charges:[{charge:hatchet;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Midhurst&population=11550&size=33&seed=8194174370248&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
249,Cocles,New Winchbridia,New Winchbridia Colony,Seavedonia,Holy State of Seavedonia,Westen,Westen Beliefs,6405,902.8,474.31,-2.19,5.26,13,102°F,Mecca,,,,,,temple,,{t1:sable;charges:[{charge:camel;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cocles&population=6405&size=26&seed=8194174370249&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
250,Shass,Srash,Srash County,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,1058,8.35,521.76,-6.16,-69.6,554,100°F,Mecca,,,,,,,,{t1:bendySinister-or-gules-smaller;ordinaries:[{ordinary:cross;t:azure;line:straight}];shield:fantasy1},https://watabou.github.io/village-generator/?pop=1058&name=&seed=8194174370250&width=1400&height=636&tags=dead+end%2Cuncultivated%2Cno+orchards%2Cno+square%2Cdense
251,Cambridge,Cambridge,Cambridge Earldom,Comburghia,Kingdom of Comburghia,Westen,Norwickism,30640,280.93,518.22,-5.87,-46.79,30,102°F,Mecca,,,,walls,plaza,temple,,{t1:azure;charges:[{charge:arrow;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cambridge&population=30640&size=47&seed=8194174370251&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
252,Newleigh,Dunsburia,Dunsburia County,Waria,Warian Empire,Westen,Norwickism,1167,466.74,639.79,-16.04,-31.24,52,99°F,Mecca,,,,,,,,{t1:or;division:{division:perBend;t:gules;line:rayonne};charges:[{charge:boat;t:sable;p:l;size:0.7};{charge:cavalier;t:or;p:m;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=1167&name=&seed=8194174370252&width=1400&height=636&tags=dead+end%2Cno+orchards%2Cno+square%2Cdense
253,Mouryme,Newbole,Newbole Earldom,Comburghia,Kingdom of Comburghia,Westen,Norwickism,4205,240.68,726.11,-23.27,-50.16,397,90°F,Mecca,,,,,,,,{t1:azure;charges:[{charge:mascle;t:argent;p:kn;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Mouryme&population=4205&size=22&seed=8194174370253&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
254,Midmanch,Midmanch,Midmanch County,Waria,Warian Empire,Westen,Norwickism,12965,495.6,296.7,12.67,-28.82,52,100°F,Mecca,,,citadel,walls,plaza,,,{t1:sable;charges:[{charge:horseshoe;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Midmanch&population=12965&size=34&seed=8194174370254&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
255,Kinerid,Kinerid,Kinerid Parish,Withamberia,Diocese of Withamberia,Kentian,Norwickism,14053,329.64,350.71,8.15,-42.71,13,100°F,Mecca,,,,walls,plaza,temple,,{t1:argent;charges:[{charge:escallop;t:gules;p:jeo;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Kinerid&population=14053&size=35&seed=8194174370255&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
256,Cokehonenil,Rraj'hass,Rraj'hass Captaincy,Sor'thaz,Kingdom of Sor'thaz,Kentian,Norwickism,2194,168.18,359.54,7.41,-56.22,82,100°F,Mecca,,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:deerHeadCaboshed;t:azure;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Cokehonenil&population=2194&size=17&seed=8194174370256&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
257,Hangtai,Taityeunia,Taityeunia Parish,Seavedonia,Holy State of Seavedonia,Guantzu,Guantzu Faith,1174,1105.63,454.47,-0.53,22.23,52,102°F,Mecca,,,,,,temple,,{t1:gules;division:{division:perSaltire;t:argent};ordinaries:[{ordinary:chevron;t:or}];charges:[{charge:inescutcheon;t:or;p:h;size:0.5};{charge:crossHummetty;t:azure;p:h;size:0.25}];shield:banner},https://watabou.github.io/city-generator/?name=Hangtai&population=1174&size=14&seed=8194174370257&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
258,Zsorjintus,Hori,Hori Captaincy,Sor'thaz,Kingdom of Sor'thaz,Aj'Snaga,Norwickism,12093,145.63,492.12,-3.68,-58.11,13,102°F,Mecca,,,citadel,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:terrace;t:or;line:invecked}];charges:[{charge:mullet;t:or;p:def;size:0.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Zsorjintus&population=12093&size=33&seed=8194174370258&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
259,Pilton,Aptonlia,Aptonlia Parish,Seavedonia,Holy State of Seavedonia,Nortumbic,Nortumbic Beliefs,1447,1202.92,570.33,-10.23,30.37,52,100°F,Mecca,,,citadel,walls,,temple,,{t1:purpure;division:{division:perFess;t:argent;line:straight};charges:[{charge:lute;t:or;p:k;size:0.7};{charge:eagle;t:azure;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Pilton&population=1447&size=15&seed=8194174370259&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
260,Skalletesh,Merden,Merden County,Knutsdonia,Grand Duchy of Knutsdonia,Aj'Snaga,Norwickism,661,120.69,591.52,-12,-60.2,1447,95°F,Mecca,,,citadel,,,,,{t1:gules;division:{division:perCross;t:or;line:straight};charges:[{charge:crossHummetty;t:argent;p:e;size:1.5}];shield:fantasy1},https://watabou.github.io/city-generator/?name=Skalletesh&population=661&size=11&seed=8194174370260&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
261,Wigton,Kitonbeck,Kitonbeck County,Chichia,Grand Duchy of Chichia,Westen,Norwickism,3979,311.68,730.91,-23.67,-44.22,161,91°F,Mecca,,,citadel,,,,,{t1:purpure;charges:[{charge:bell;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Wigton&population=3979&size=22&seed=8194174370261&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
262,Penilworth,Newbole,Newbole Earldom,Comburghia,Kingdom of Comburghia,Westen,Norwickism,2544,223.42,748.51,-25.14,-51.6,738,88°F,Mecca,,,,,,,,{t1:purpure;ordinaries:[{ordinary:bendSinister;t:argent;line:straight}];charges:[{charge:lymphad;t:argent;p:ai;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Penilworth&population=2544&size=18&seed=8194174370262&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
263,Brarificona,Aberhia,Aberhia Parish,Towcesland,Brotherhood of Towcesland,Keltan,Thetford Cult,10626,334.5,181.5,22.31,-42.31,52,90°F,Mecca,,port,,walls,,temple,,{t1:or;ordinaries:[{ordinary:fessDoubleCotissed;t:purpure;line:dovetailedIndented}];charges:[{charge:trefle;t:argent;p:e;size:0.7}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Brarificona&population=10626&size=32&seed=8194174370263&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1&sea=1.2
264,Aberiw,Digionvele,Digionvele Earldom,Afespia,Kingdom of Afespia,Keltan,Norwickism,5603,22.69,263.81,15.42,-68.4,1184,95°F,Mecca,,,citadel,,,,,{t1:argent;ordinaries:[{ordinary:label;t:sable}];charges:[{charge:fusil;t:purpure;p:eh;size:0.7}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Aberiw&population=5603&size=25&seed=8194174370264&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
265,Digionvele,Digionvele,Digionvele Earldom,Afespia,Kingdom of Afespia,Keltan,Norwickism,22232,23.84,274.91,14.49,-68.3,840,95°F,Mecca,,,citadel,walls,plaza,,,{t1:argent;charges:[{charge:eagle;t:azure;p:kn;size:0.7}];shield:vesicaPiscis},https://watabou.github.io/city-generator/?name=Digionvele&population=22232&size=42&seed=8194174370265&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
266,Quatford,Bridle,Bridle Margrave,Milcesia,Duchy of Milcesia,Kentian,Norwickism,8033,222.7,312.3,11.36,-51.66,82,100°F,Mecca,,,,walls,plaza,,,{t1:sable;ordinaries:[{ordinary:bendSinister;t:argent;line:angled}];charges:[{charge:compassRose;t:sable;p:lem;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Quatford&population=8033&size=28&seed=8194174370266&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
